Profile,Indexed,Follower,Following,Boards,Pins, Views 
https://www.pinterest.com/MinimalistInvitations,TRUE,1,2,31,5214," 6,676 "
https://id.pinterest.com/TerracotaWeddingInvitations/,TRUE,1,2,31,3780," 43,356 "
https://id.pinterest.com/PerfectWeddingsInvitations/,TRUE,2,0,31,5701," 4,377 "
https://www.pinterest.com/SomeWeddingInvitations/,TRUE,0,2,31,4029," 6,017 "
https://id.pinterest.com/LaguLaguanDotCom/,TRUE,142,10,28,8417," 18,219 "
https://www.pinterest.com/WeddingsSaveTheDates/,TRUE,1,2,31,5559," 8,296 "
https://www.pinterest.com/CardWeddingInvitations/,TRUE,0,2,31,5410," 7,600 "
https://www.pinterest.com/SmoothWeddingInvitations/,TRUE,3,2,31,3757," 9,232 "
https://www.pinterest.com/SaleWeddingInvitations/,TRUE,1,2,31,5670," 4,145 "
https://www.pinterest.com/WeddingCardsZazzle/,TRUE,1,2,31,4584," 4,334 "
https://www.pinterest.com/LoveWeddingInvitations/,TRUE,1,2,31,4980," 7,016 "
https://www.pinterest.com/bellaweddingcard,TRUE,1,5,31,9621," 7,807 "
https://id.pinterest.com/WeddingCeremony2/,TRUE,2,2,31,4769," 3,407 "
https://www.pinterest.com/CustomWeddingInvitationss/,TRUE,2,1,31,5547," 3,574 "
https://www.pinterest.com/WeddingCardsStore/,TRUE,2,1,31,5161," 5,260 "
https://www.pinterest.com/WeddingCardsMarket/,TRUE,1,2,31,5944," 7,097 "
https://www.pinterest.com/WeddingCardCollectionss/,TRUE,4,2,31,5334," 133,123 "
https://www.pinterest.com/WeddingCardsBestSeller/,TRUE,2,2,31,5781," 3,453 "
https://www.pinterest.com/CreateYourWeddingInvitations/,TRUE,1,2,31,5710," 14,190 "
https://www.pinterest.com/ElegantWeddingInvitationss/,TRUE,1,2,31,4966," 2,561 "
https://www.pinterest.com/KayihSmith,TRUE,45,5,48,35827," 512,971 "
https://www.pinterest.com/ZazzleWeddingCards/,TRUE,2,2,31,5088," 1,790 "
https://www.pinterest.com/BoldWeddingInvitations/,TRUE,1,2,31,5561," 6,292 "
https://www.pinterest.com/WeddingStationerys/,TRUE,3,2,31,4460," 9,151 "
https://www.pinterest.com/LitWeddingInvitations/,TRUE,4,2,31,5681," 3,705 "
https://www.pinterest.com/BudgetWeddingInvitations/,TRUE,1,3,31,4873," 2,949 "
https://www.pinterest.com/angelamorr1s,TRUE,0,9,39,17091," 5,368 "
https://www.pinterest.com/NiceInvitationsWedding/,TRUE,1,2,32,4310," 16,043 "
https://www.pinterest.com/BohoWeddingInvitations/,TRUE,2,2,31,4021," 1,742 "
https://www.pinterest.com/kristinweddingcard,TRUE,3,5,39,17441," 1,521 "
https://www.pinterest.com/SimpleWeddingsInvitations/,TRUE,1,2,31,5402," 10,361 "
https://www.pinterest.com/WeddingInvitationsStore/,TRUE,2,2,31,5267," 15,825 "
https://www.pinterest.com/WeddingInvitationsCardss/,TRUE,1,2,31,5319," 7,888 "
https://www.pinterest.com/WeddingStationeries/,TRUE,3,2,31,5600," 5,938 "
https://www.pinterest.com/PhotoWeddingInvitationss/,TRUE,1,2,31,5502," 1,363 "
https://www.pinterest.com/YourWeddingCards/,TRUE,1,2,31,5557," 2,271 "
https://www.pinterest.com/WeddingCardIdeas/,TRUE,2,2,31,5158," 1,529 "
https://www.pinterest.com/BuildWeddingCards/,TRUE,1,2,31,5381," 4,217 "
https://www.pinterest.com/ElegantWeddingCard/,TRUE,4,2,31,5222," 8,484 "
https://www.pinterest.com/WeddingCardIdeass/,TRUE,3,2,31,5522," 6,166 "
https://www.pinterest.com/WeddingInvitationDesignss/,TRUE,3,2,31,5470," 3,163 "
https://www.pinterest.com/WeddingCustomizationOptions/,TRUE,0,4,31,4282," 5,169 "
https://www.pinterest.com/RusticWeddingsInvitations/,TRUE,2,3,31,5408," 6,372 "
https://www.pinterest.com/WeddingThankYouCards/,TRUE,2,2,31,5822," 9,381 "
https://id.pinterest.com/ZazzlePlayfulMoments81/,TRUE,0,0,10,3648," 2,901 "
https://id.pinterest.com/aspecthjl0037/,TRUE,0,0,10,3157, 707 
https://id.pinterest.com/ZazzleInspiredGifts97/,TRUE,2,0,10,3624," 321,459 "
https://id.pinterest.com/ZazzleFamilyJoy66/,TRUE,0,0,10,3183, 662 
https://id.pinterest.com/ZazzleForeverMoments20/,TRUE,1,0,10,3767," 3,091 "
